Form Key,Editor Id,Name,Enchant Type,Cast Type,Target Type,Enchantment Cost,Computed Auto Cost,Enchantment Amount,Charge Time,Winner Overwrite
073328:Skyrim.esm,TrapFireRune,,Enchantment,FireAndForget,Touch,2575,2852,2575,0,Enderal SE - Gameplay Overhaul.esp
10A27E:Skyrim.esm,TrapFrostRune,,Enchantment,FireAndForget,Touch,3433,3384,3433,0,Enderal SE - Gameplay Overhaul.esp
10A27F:Skyrim.esm,TrapLightningRune,,Enchantment,FireAndForget,Touch,4293,4492,4293,0,Enderal SE - Gameplay Overhaul.esp
002C89:Enderal SE - Gameplay Overhaul.esp,EnchWeaponAbsorbStaminaSanguine,Absorb Health,Enchantment,FireAndForget,Touch,14,9,14,0,Enderal SE - Gameplay Overhaul.esp
02A49E:Enderal - Forgotten Stories.esm,_04E_30_Unique_YerosLastWords_Ench,Absorb Health,Enchantment,FireAndForget,Touch,44,13,44,0,Enderal SE - Gameplay Overhaul.esp
0432F0:Skyrim.esm,_04E_35_Unique_KilrasRedemption_Ench,Absorb Health,Enchantment,FireAndForget,Touch,237,102,237,0,Skyrim.esm
0AA145:Skyrim.esm,EnchWeaponAbsorbHealth02,Absorb Health,Enchantment,FireAndForget,Touch,10,2,10,0,Enderal SE - Gameplay Overhaul.esp
0AA15A:Skyrim.esm,EnchWeaponAbsorbHealth03,Absorb Health,Enchantment,FireAndForget,Touch,22,7,22,0,Enderal SE - Gameplay Overhaul.esp
0AA15B:Skyrim.esm,EnchWeaponAbsorbHealth04,Absorb Health,Enchantment,FireAndForget,Touch,44,13,44,0,Enderal SE - Gameplay Overhaul.esp
0AA15C:Skyrim.esm,EnchWeaponAbsorbHealth05,Absorb Health,Enchantment,FireAndForget,Touch,48,20,48,0,Skyrim.esm
0AA15D:Skyrim.esm,EnchWeaponAbsorbHealth06,Absorb Health,Enchantment,FireAndForget,Touch,62,26,62,0,Skyrim.esm
10FB91:Skyrim.esm,EnchWeaponAbsorbHealthBase,Absorb Health,Enchantment,FireAndForget,Touch,22,7,22,0,Enderal SE - Gameplay Overhaul.esp
