Form Key,Editor Id,Name,Cast Type,Target Type,Base Cost,Computed Auto Cost,Charge Time,Arcane Fever,Value,Weight,Winner Overwrite
0F04BB:Skyrim.esm,_00E_PowderMineFireballscroll,Confiscated Scroll,Scroll,Aimed,28,25,0.5,,0,0.2,Enderal SE - Gameplay Overhaul.esp
03A9C5:Apocalypse - Magic of Skyrim.esp,WB_A100_AccelerationRune_Scroll,Scroll of Acceleration Rune,Scroll,TargetLocation,1250,1250,3,,250,0.5,Apocalypse - Magic of Skyrim.esp
03A449:Apocalypse - Magic of Skyrim.esp,WB_A000_Alarm_Scroll,Scroll of Alarm,Scroll,Self,76,76,0.5,,15,0.5,Apocalypse - Magic of Skyrim.esp
039ED9:Apocalypse - Magic of Skyrim.esp,WB_D100_ApocalypseNew_Scroll,Scroll of Apocalypse,Scroll,Aimed,800,800,2.5,,250,0.5,Apocalypse - Magic of Skyrim.esp
03BA26:Apocalypse - Magic of Skyrim.esp,WB_C025_AtronachMark_Scroll,Scroll of Atronach Mark,Scroll,Aimed,75,75,0.5,,30,0.5,Apocalypse - Magic of Skyrim.esp
0388F8:Apocalypse - Magic of Skyrim.esp,WB_I025_Backlash_Scroll,Scroll of Backlash,ConstantEffect,Aimed,25,25,0.2,,30,0.5,Apocalypse - Magic of Skyrim.esp
03BFAB:Apocalypse - Magic of Skyrim.esp,WB_C100_BanishLiving_Scroll,Scroll of Banish Living,Scroll,TargetActor,1573,1573,5.5,,250,0.5,Apocalypse - Magic of Skyrim.esp
05F258:Apocalypse - Magic of Skyrim.esp,WB_A100_Battletide_Scroll,Scroll of Battletide,Scroll,Self,705,705,2,,250,0.5,Apocalypse - Magic of Skyrim.esp
0896D6:Apocalypse - Magic of Skyrim.esp,WB_D000_Blaze_Scroll,Scroll of Blaze,Scroll,Aimed,31,31,0,,15,0.5,Apocalypse - Magic of Skyrim.esp
038905:Apocalypse - Magic of Skyrim.esp,WB_I050_BloodForBlood_Scroll,Scroll of Blood For Blood,ConstantEffect,TargetActor,170,170,0.5,,60,0.5,Apocalypse - Magic of Skyrim.esp
04839A:Apocalypse - Magic of Skyrim.esp,WB_R100_Bloodseeker_Scroll,Scroll of Bloodseeker,Scroll,Aimed,602,602,0.5,,250,0.5,Apocalypse - Magic of Skyrim.esp
