Form Key,Editor Id,Name,School,Type,Cast Type,Target Type,Base Cost,Computed Auto Cost,Charge Time,Arcane Fever,Winner Overwrite,Taught By
023316:Apocalypse - Magic of Skyrim.esp,WB_Des_Spectral5_Spell_Apocalypse,Apocalypse,Elementalism,Spell,FireAndForget,Aimed,138,800,0,,Zenderal - Magic Patches.esp,WB_D100_Apocalypse_Book
085594:Apocalypse - Magic of Skyrim.esp,WB_Des_Fire1_Spell_Blaze_NPC,Blaze,Elementalism,Spell,FireAndForget,Aimed,17,31,0,,Zenderal - Magic Patches.esp,WB_D000_Blaze_Book
01DA27:Skyrim.esm,_01E_Blitz,Blazing Spark (Rank I),Elementalism,Spell,FireAndForget,Aimed,19,29,0.7,,Enderal SE - Gameplay Overhaul.esp,_01E_SpellBookBlazingSpark
08564E:Skyrim.esm,_10E_Blitz,Blazing Spark (Rank II),Elementalism,Spell,FireAndForget,Aimed,31,52,0.7,,Enderal SE - Gameplay Overhaul.esp,_10E_SpellBookBlazingSpark
12E145:Skyrim.esm,_18E_Blitz,Blazing Spark (Rank III),Elementalism,Spell,FireAndForget,Aimed,43,77,0.7,,Enderal SE - Gameplay Overhaul.esp,_18E_SpellBookBlazingSpark
12E146:Skyrim.esm,_28E_Blitz,Blazing Spark (Rank IV),Elementalism,Spell,FireAndForget,Aimed,56,269,0.7,,Enderal SE - Gameplay Overhaul.esp,_28E_SpellBookBlazingSpark
12E147:Skyrim.esm,_38E_Blitz,Blazing Spark (Rank V),Elementalism,Spell,FireAndForget,Aimed,70,355,0.7,,Enderal SE - Gameplay Overhaul.esp,_38E_SpellBookBlazingSpark
12E148:Skyrim.esm,_48E_Blitz,Blazing Spark (Rank VI),Elementalism,Spell,FireAndForget,Aimed,85,461,0.7,,Enderal SE - Gameplay Overhaul.esp,_48E_SpellBookBlazingSpark
0294CD:Apocalypse - Magic of Skyrim.esp,WB_Des_Fire3_Spell_Bolide_NPC,Bolide,Elementalism,Spell,FireAndForget,Aimed,59,134,0.5,,Zenderal - Magic Patches.esp,WB_D050_Bolide_Book
0294D4:Apocalypse - Magic of Skyrim.esp,WB_Des_Fire4_Spell_Bombardment_NPC,Bombardment,Elementalism,Spell,Concentration,Aimed,40,125,1.5,,Zenderal - Magic Patches.esp,WB_D075_Bombardment_Book
00481A:KataPUMBSpellPack.esp,Kata_S_Elementalism_50_Bombardment_1,Bombardment (Rank I),Elementalism,Spell,Concentration,Aimed,21,48,0.6,,KataPUMBSpellPack.esp,Kata_B_Elementalism_50_Bombardment
00481B:KataPUMBSpellPack.esp,Kata_S_Elementalism_75_Bombardment_2,Bombardment (Rank II),Elementalism,Spell,Concentration,Aimed,35,87,0.6,,KataPUMBSpellPack.esp,Kata_B_Elementalism_75_Bombardment
00481D:KataPUMBSpellPack.esp,Kata_S_Elementalism_99_Bombardment_3,Bombardment (Rank III),Elementalism,Spell,Concentration,Aimed,48,131,0.6,,KataPUMBSpellPack.esp,Kata_B_Elementalism_99_Bombardment
085650:Skyrim.esm,_14E_Kettenblitz,Chain Lightning (Rank I),Elementalism,Spell,FireAndForget,Aimed,58,142,1,,Enderal SE - Gameplay Overhaul.esp,_14E_SpellBookChainLightning
12E15B:Skyrim.esm,_34E_Kettenblitz,Chain Lightning (Rank II),Elementalism,Spell,FireAndForget,Aimed,81,219,1,,Enderal SE - Gameplay Overhaul.esp,_34E_SpellBookChainLightning
12E15E:Skyrim.esm,_54E_Kettenblitz,Chain Lightning (Rank III),Elementalism,Spell,FireAndForget,Aimed,107,312,1,,Enderal SE - Gameplay Overhaul.esp,_54E_SpellBookChainLightning
0142D2:KataPUMBSpellPack.esp,Kata_S_Elementalism_00_ChillingTouch_1,Chilling Touch (Rank I),Elementalism,Spell,FireAndForget,Aimed,13,15,0.3,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_00_ChillingTouch
0142D3:KataPUMBSpellPack.esp,Kata_S_Elementalism_25_ChillingTouch_2,Chilling Touch (Rank II),Elementalism,Spell,FireAndForget,Aimed,19,24,0.3,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_25_ChillingTouch
0142D8:KataPUMBSpellPack.esp,Kata_S_Elementalism_50_ChillingTouch_3,Chilling Touch (Rank III),Elementalism,Spell,FireAndForget,Aimed,26,36,0.3,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_50_ChillingTouch
0142D9:KataPUMBSpellPack.esp,Kata_S_Elementalism_75_ChillingTouch_4,Chilling Touch (Rank IV),Elementalism,Spell,FireAndForget,Aimed,37,57,0.3,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_75_ChillingTouch
0142DA:KataPUMBSpellPack.esp,Kata_S_Elementalism_99_ChillingTouch_5,Chilling Touch (Rank V),Elementalism,Spell,FireAndForget,Aimed,50,84,0.3,,EGO - KataPUMB Spell Package.esp,Kata_B_Elementalism_99_ChillingTouch
109653:Apocalypse - Magic of Skyrim.esp,WB_Des_Shock1_Spell_Crackle_NPC,Crackle,Elementalism,Spell,FireAndForget,Aimed,17,31,0,,Zenderal - Magic Patches.esp,WB_D000_Crackle_Book
0279BD:Apocalypse - Magic of Skyrim.esp,WB_Des_Frost2_Spell_CreepingCold_NPC,Creeping Cold,Elementalism,Spell,Concentration,Aimed,16,19,0,,Zenderal - Magic Patches.esp,WB_D025_CreepingCold_Book
